@relation 'mutationvariants-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute KOSJ950102 numeric
@attribute KOSJ950107 numeric
@attribute KOSJ950112 numeric
@attribute GENE_FAMILY numeric
@attribute class {pathogenic,benign,conflicting,risk,unknown}

@data

0.1,0.1,0.2,3756,benign
0.5,0.1,0.5,3603,pathogenic
0.1,0.1,0.5,1160,pathogenic
82.8,91.5,77.9,7897,pathogenic
0.8,1.7,1,7527,pathogenic
1.4,0.1,0.9,23336,benign
1.4,0.1,0.9,21497,benign
0,0,0,17098,pathogenic
0,0,0,17098,pathogenic
0.1,4.3,3.2,8768,benign
2.1,5.9,1.7,29253,benign
2.4,0.1,3.9,26090,pathogenic
1.5,0.1,0.7,9834,benign
66.4,71.2,60.6,10585,pathogenic
0,0,0,17098,pathogenic
3,0.3,0.1,9180,benign
0.8,1.7,1,5465,benign
0.1,0.3,1,22140,benign
0,0,0,17098,pathogenic
0.1,0.1,0.4,2020,pathogenic
0.1,0.1,0.2,2942,benign
0.1,0.1,0.3,17084,benign
0.9,1.7,1.2,17098,pathogenic
0.3,1.7,2,379,benign
0.5,0.6,0.2,16892,benign
1.4,0.1,0.9,10585,pathogenic
0.1,0.1,1.7,6932,pathogenic
1.7,1.7,3.4,29253,pathogenic
0,0,0,6547,pathogenic
2.3,8.3,9.4,23168,benign
2.3,8.3,9.4,12726,benign
82.8,91.5,77.9,12601,pathogenic
0.1,0.1,1.7,25133,benign
60.3,75.9,68.2,30000,benign
0,0,0,7773,pathogenic
0.7,0.1,0.2,2151,benign
4.2,1.2,0.5,25396,pathogenic
0.1,0.1,1.7,932,benign
1.5,0.1,0.7,5273,benign
0.5,0.9,0.5,2209,pathogenic
0.7,0.1,0.2,7720,benign
0,0,0,10402,pathogenic
0,0,0,966,pathogenic
0.1,0.3,1,16712,pathogenic
1.5,0.1,0.7,4367,benign
0.9,1.7,1.2,11720,benign
0.4,1.1,2.7,8516,benign
0.8,1.7,1,3690,benign
0.7,0.1,0.2,11448,pathogenic
0,0,0,28423,pathogenic
4.6,6.2,3.9,1665,benign
0.8,1.7,1,2396,benign
0.1,0.1,1.7,18040,benign
1.5,0.1,0.7,4180,benign
0.1,4.3,3.2,25223,benign
49.8,67.3,57.1,3800,pathogenic
0,0,0,950,pathogenic
0.8,1.7,1,7106,benign
0,0,0,11027,pathogenic
1.5,0.1,0.7,1917,benign
49.8,67.3,57.1,3690,benign
0.1,0.1,0.3,6156,pathogenic
0,0,0,12403,pathogenic
0,0,0,10681,pathogenic
2.6,0.4,0.8,603,pathogenic
58.5,78.1,66.7,4315,pathogenic
0,0,0,10681,pathogenic
0.1,0.3,0.2,11764,benign
1.5,0.1,0.7,15710,benign
0,0,0,10683,pathogenic
0,0,0,10683,pathogenic
0,0,0,10585,pathogenic
4.6,6.2,3.9,869,benign
0.1,0.1,0.1,6296,pathogenic
0.1,0.1,0.2,952,benign
0.1,0.3,0.1,10959,benign
1.5,0.1,0.7,3178,benign
1.4,0.1,0.9,603,pathogenic
0,0,0,17098,pathogenic
0.3,1.7,2,966,pathogenic
0,0,0,939,pathogenic
1.5,0.1,0.7,2962,benign
0.1,0.3,0.1,11254,pathogenic
1.7,1.7,3.4,12586,benign
0,0,0,18141,pathogenic
0.8,1.7,1,6929,benign
0.4,1.1,2.7,6547,pathogenic
0.1,4.3,3.2,6677,pathogenic
0.1,0.1,1.7,57,pathogenic
5.7,0.1,1.9,9725,benign
0.1,0.1,1.7,8877,benign
0.5,0.1,0.1,4122,benign
1.5,0.1,0.7,2186,benign
0.1,1.5,0.9,11781,benign
1.4,0.1,0.9,4396,pathogenic
0.5,0.1,0.5,14540,benign
0.1,0.3,1,3436,benign
2.1,5.9,1.7,9086,pathogenic
0.1,0.3,0.2,3438,benign
0.8,1.7,1,3438,benign
0.1,0.3,1,3438,benign
0.1,0.1,0.3,3438,benign
0.1,0.1,1.7,3438,benign
0,0,0,10585,pathogenic
0.1,1.5,0.9,9183,pathogenic
5.7,0.1,1.9,9154,pathogenic
0.6,0.1,1,4585,benign
0.5,0.1,0.1,11603,benign
0.1,1.8,0.7,7601,benign
0.1,4.3,3.2,1078,benign
0.1,0.3,1,2185,benign
0.1,0.3,1,877,pathogenic
0,0,0,6677,benign
0.5,0.8,0.1,21575,benign
1.1,0.1,0.3,4827,pathogenic
0.6,0.1,1,16297,pathogenic
0.5,0.1,0.5,2214,benign
0.1,0.1,1.7,2218,benign
0.1,0.1,0.2,10585,pathogenic
0.1,0.1,0.8,2218,benign
0.8,1.7,1,1665,benign
1.5,0.1,0.7,10599,benign
0.1,0.1,0.3,27424,benign
0.1,0.1,0.4,6547,pathogenic
0.1,0.1,1.7,379,benign
0.5,0.1,0.5,27424,pathogenic
0.1,0.1,0.5,11303,benign
